,direc,y_x,score
0,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_3_24,0.41869023
1,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_24_3,0.9178149
2,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_13_10,0.71345013
3,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_30_7,0.66527796
4,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_5_7,0.98753464
5,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_27,0.5269121
6,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_9_29,0.30083668
7,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_1_9,0.23616433
8,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_31_14,0.3918846
9,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_1_31,0.14963704
10,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_21_30,0.12359198
11,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_27_7,0.41568664
12,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_18_19,0.4231247
13,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_28,0.21066096
14,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_12_32,0.1772011
15,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_3_17,0.34927025
16,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_1_25,0.5381431
17,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_22_11,0.700276
18,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_28_26,0.1482122
19,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_22_30,0.12283804
20,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_8_19,0.9484553
21,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_15,0.41645968
22,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_29_27,0.1520981
23,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_31_7,0.9457654
24,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_8_18,0.934783
25,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_20_26,0.1504753
26,50RQP_32_times_32,S2A_MSIL2A_20240212T023831_R089_T50RQP_20240212T060423_visual_4_15,0.38515392
